VEMCO TAG,YEAR TAGGED,AR,BR,CR,ER,OR,PE,PR,SR,YR,NOAA 2011,NOAA 2010
30547,2011,,1,,,,,,,,,
30548,2011,,,,,,,,,1,,
30549,2011,,,,,,,,,1,,
30550,2011,,,,,,,,,1,,
30551,2011,,,,,,,,,1,,
30552,2011,,,,,,,,,1,,
30553,2011,,,,,,,,,1,,
30554,2011,,,,,,,,,1,,
30555,2011,,,,,,,,,1,,
30556,2011,,,,,,,,,1,,
30557,2011,,,,,,,,,1,,
30558,2011,,,,,,,,,1,,
30559,2011,,,,,,,,,1,,
30560,2011,,,,,,,,,1,,
30561,2011,,,,,,,,,1,,
30562,2011,,,,,,,,,1,,
30563,2011,,,,,,,,,1,,
30564,2011,,,,,,,,,1,,
30565,2011,,,,,,,,,1,,
30566,2011,,,,,,,,,1,,
30567,2011,,,1,,,,,,,,
30568,2011,,,1,,,,,,,,
30569,2011,,,1,,,,,,,,
30570,2011,,,1,,,,,,,,
30571,2011,,,1,,,,,,,,
30572,2011,,,1,,,,,,,,
30573,2011,,,1,,,,,,,,
30574,2011,,,1,,,,,,,,
30575,2011,,,1,,,,,,,,
30576,2011,,,1,,,,,,,,
30577,2011,,,1,,,,,,,,
30578,2011,,,1,,,,,,,,
30579,2011,,,1,,,,,,,,
30580,2011,,,1,,,,,,,,
30581,2011,,,1,,,,,,,,
30582,2011,,,1,,,,,,,,
30583,2011,,,1,,,,,,,,
30584,2011,,,1,,,,,,,,
30585,2011,,,1,,,,,,,,
30586,2011,,,1,,,,,,,,
30587,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
30588,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
30589,2011,,,,,,,1,,,,
30590,2011,,,,1,,,,,,,
30591,2011,1,,,,,,,,,,
30592,NOT DEPLOYED-SENT TO PE,,,,,,,,,,,
30593,2011,,,,1,,,,,,,
30594,2011,,,,1,,,,,,,
30595,2011,1,,,,,,,,,,
30596,2011,1,,,,,,,,,,
30597,2011,1,,,,,,,,,,
30598,2011,,,,1,,,,,,,
30599,2011,,,,1,,,,,,,
30600,2011,,,,1,,,,,,,
30601,2011,,,,,,,,1,,,
30602,2011,,,,,,,,1,,,
30603,2011,,,,,,,,1,,,
30604,2011,,,,,,,,1,,,
30605,2011,,,,,,,,1,,,
30606,2011,,,,,,,,1,,,
30607,2011,,,,,,,,1,,,
30608,2011,,,,,,,,1,,,
30609,2011,,,,,,,,1,,,
30610,2011,,,,,,,,1,,,
30611,2011,,,,,,,,1,,,
30612,2011,,,,,,,,1,,,
30613,2011,,,,,,,,1,,,
30614,2011,,,,,,,,1,,,
30615,2011,,,,,,,,1,,,
30616,2011,,,,,,,,1,,,
30617,2011,,,,,,,,1,,,
30618,2011,,,,,,,,1,,,
30619,2011,,,,,,,,1,,,
30620,2011,,,,,,,,1,,,
31730,2011,,,1,,,,,,,,
31731,2011,,,1,,,,,,,,
31732,2011,,,1,,,,,,,,
31733,2011,,,1,,,,,,,,
31734,2011,,,1,,,,,,,,
31735,2011,,,1,,,,,,,,
31736,2011,,,1,,,,,,,,
31737,2011,,,1,,,,,,,,
31738,2011,,,1,,,,,,,,
31739,2011,,,1,,,,,,,,
31740,2011,,,1,,,,,,,,
31741,2011,,,1,,,,,,,,
31742,2011,,,1,,,,,,,,
31743,2011,,,1,,,,,,,,
31744,2011,,,1,,,,,,,,
31745,2011,,,1,,,,,,,,
31746,2011,,,1,,,,,,,,
31747,2011,,,1,,,,,,,,
31748,2011,,,1,,,,,,,,
31749,2011,,,1,,,,,,,,
31750,2011,,,1,,,,,,,,
31751,2011,,,1,,,,,,,,
31752,2011,,,1,,,,,,,,
31753,2011,,,1,,,,,,,,
31754,2011,,,1,,,,,,,,
31755,2011,,,1,,,,,,,,
31756,2011,,,1,,,,,,,,
31757,2011,,,1,,,,,,,,
31758,2011,,,1,,,,,,,,
31759,2011,,,1,,,,,,,,
31792,2011,,,,,,,1,,,,
31794,2011,,,,,,,1,,,,
32248,2011,,,,,,,1,,,,
40494,2011,,,,,,,1,,,,
40497,2011,,,,,,,1,,,,
40498,2011,,,,,,,1,,,,
44356,2011,,,,1,,,,,,,
44357,2011,,,,,,,,,1,,
44358,2011,,,,1,,,,,,,
45053,2011,,,,,,,1,,,,
45652,2010,,,,,,,1,,,,
45653,2010,,,,,,,1,,,,
45654,2010,,,,,,,1,,,,
45655,2010,,,,,,,1,,,,
45656,2010,,,,,,,1,,,,
45709,2010,,,,1,,,,,,,
45710,2010,,,,1,,,,,,,
45712,2010,,,,1,,,,,,,
45713,2010,,,,1,,,,,,,
45715,2010,,,,1,,,,,,,
45716,2010,,1,,,,,,,,,
45717,2010,,,,,,1,,,,,
45718,2010,,1,,,,,,,,,
45719,2010,,,,,,1,,,,,
45720,2010,,,,,,1,,,,,
45721,2010,,,,,,1,,,,,
45722,2010,,,,1,,,,,,,
45723,2010,,1,,,,,,,,,
45724,2010,,,,1,,,,,,,
45725,2010,,1,,,,,,,,,
45726,2010,,,,1,,,,,,,
45727,2010,,,,,,1,,,,,
45729,2010,,,,,,1,,,,,
45730,2010,,1,,,,,,,,,
45732,2010,,,,1,,,,,,,
45733,2010,,,,1,,,,,,,
45734,2010,,1,,,,,,,,,
45735,2010,,,,1,,,,,,,
45736,2010,,,,1,,,,,,,
45738,2010,,1,,,,,,,,,
45739,2010,,1,,,,,,,,,
45740,2010,,,,,,,,,1,,
45741,2010,,1,,,,,,,,,
45743,2010,,1,,,,,,,,,
45744,2010,,,,1,,,,,,,
45745,2010,,1,,,,,,,,,
45746,2010,,,,,,1,,,,,
45747,2010,,,,,,1,,,,,
45749,2010,,,,,,1,,,,,
45750,2010,,1,,,,,,,,,
45751,2010,,,,1,,,,,,,
45752,2011,,,,,,1,,,,,
45754,2010,,,,1,,,,,,,
45755,2010,,1,,,,,,,,,
45756,2010,,,,1,,,,,,,
45757,2010,,,,1,,,,,,,
45758,2010,,1,,,,,,,,,
45759,2010,,1,,,,,,,,,
45760,2010,,1,,,,,,,,,
45761,2010,,,,1,,,,,,,
45762,2010,,,,1,,,,,,,
45763,2010,,1,,,,,,,,,
45764,2010,,1,,,,,,,,,
45765,2010,,,,,,1,,,,,
45766,2010,,1,,,,,,,,,
45767,2010,,,,,,1,,,,,
45768,2010,,1,,,,,,,,,
45853,2010,,,1,,,,,,,,
45854,2010,,,1,,,,,,,,
45855,2010,,,1,,,,,,,,
45856,2010,,,1,,,,,,,,
45857,2010,,,1,,,,,,,,
45858,2010,,,1,,,,,,,,
45859,2010,,,1,,,,,,,,
45860,2010,,,1,,,,,,,,
45861,2010,,,1,,,,,,,,
45862,2010,,,1,,,,,,,,
45863,2010,,,1,,,,,,,,
45864,2010,,,1,,,,,,,,
45865,2010,,,1,,,,,,,,
45866,2010,,,1,,,,,,,,
45867,2010,,,1,,,,,,,,
46033,2010,,,1,,,,,,,,
46034,2010,,,1,,,,,,,,
46035,2010,,,1,,,,,,,,
46036,2010,,,1,,,,,,,,
46037,2010,,,1,,,,,,,,
46038,2010,,,1,,,,,,,,
46039,2010,,,1,,,,,,,,
46040,2010,,,1,,,,,,,,
46041,2010,,,1,,,,,,,,
46042,2010,,,1,,,,,,,,
46043,2010,,,1,,,,,,,,
46044,2010,,,1,,,,,,,,
46045,2010,,,1,,,,,,,,
46046,2010,,,1,,,,,,,,
46047,2010,,,1,,,,,,,,
46048,2010,,,1,,,,,,,,
46049,2010,,,1,,,,,,,,
46050,2010,,,1,,,,,,,,
46051,2010,,,1,,,,,,,,
46052,2010,,,1,,,,,,,,
46123,2010,,,,,,,,,1,,
46142,2010,,,,,,,,1,,,
46143,2010,,,,,,,,1,,,
46144,2010,,,,,,,,1,,,
46145,2010,,,,,,,,1,,,
46146,2010,,,,,,,,1,,,
46147,2010,,,,,,,,1,,,
46148,2010,,,,,,,,1,,,
46149,2010,,,,,,,,1,,,
46150,2010,,,,,,,,1,,,
46151,2010,,,,,,,,1,,,
46152,2010,,,,,,,,1,,,
46153,2010,,,,,,,,1,,,
46154,2010,,,,,,,,1,,,
46155,2010,,,,,,,,1,,,
46156,2010,,,,,,,,1,,,
46157,2010,,,,,,,,1,,,
46158,2010,,,,,,,,1,,,
46159,2010,,,,,,,,1,,,
46160,2010,,,,,,,,1,,,
46161,2010,,,,,,,,1,,,
46162,"DEPLOYED, NOT RECORDED YR OR BR",,,,,,,,,,,
46163,2010,,,,,,,,,1,,
46164,2010,,,,,,,,,1,,
46165,2010,,,,,,,,,1,,
46166,2010,,,,,,,,,1,,
46167,"DEPLOYED, NOT RECORDED YR OR BR",,,,,,,,,,,
46168,2010,,,,,,,,,1,,
46169,2010,,,,,,,,,1,,
46170,"DEPLOYED, NOT RECORDED YR OR BR",,,,,,,,,,,
46171,2010,,,,,,,,,1,,
46172,2010,1,,,,,,,,,,
46173,2010,1,,,,,,,,,,
46174,2010,1,,,,,,,,,,
46175,2010,1,,,,,,,,,,
46176,2010,1,,,,,,,,,,
46177,2010,1,,,,,,,,,,
46178,2010,1,,,,,,,,,,
46179,2010,1,,,,,,,,,,
46180,2010,1,,,,,,,,,,
46181,2010,1,,,,,,,,,,
46182,2010,,,1,,,,,,,,
46183,2010,,,1,,,,,,,,
46184,2010,,,1,,,,,,,,
46185,2010,,,1,,,,,,,,
46186,2010,,,1,,,,,,,,
46187,2010,,,1,,,,,,,,
46188,2010,,,1,,,,,,,,
46189,2010,,,1,,,,,,,,
46190,2010,,,1,,,,,,,,
46191,2010,,,1,,,,,,,,
46192,2010,,,1,,,,,,,,
46193,2010,,,1,,,,,,,,
46194,2010,,,1,,,,,,,,
46195,2010,,,1,,,,,,,,
46196,2011,1,,,,,,,,,,
46197,2011,,,,1,,,,,,,
46198,2011,,,,1,,,,,,,
46199,2011,1,,,,,,,,,,
46200,2011,1,,,,,,,,,,
46201,2011,,,,1,,,,,,,
46202,2011,1,,,,,,,,,,
46203,2011,,,,1,,,,,,,
46204,2011,,,,1,,,,,,,
46205,2011,,,,1,,,,,,,
46206,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46207,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46208,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46209,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46210,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46211,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46212,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46213,NOT DEPLOYED-SENT TO PR,,,,,,,,,,,
46214,2011,,,,,,,,,1,,
46215,2010,,,,,,,1,,,,
46216,2010,,,,,,,,,1,,
46217,2010,,,,,,,,,1,,
46218,2010,,,,,,,,,1,,
46219,2010,,,,,,,,,1,,
46220,2010,,,,,,,,,1,,
46221,2010,,,,,,,,,1,,
46222,2010,,,,,,,,,1,,
46223,2010,,,,,,,,,1,,
46224,2010,,,,,,,,,1,,
46225,2010,,,,,,,,,1,,
46226,2010,1,,,,,,,,,,
46227,2010,1,,,,,,,,,,
46228,2010,1,,,,,,,,,,
46229,2010,1,,,,,,,,,,
46230,2010,1,,,,,,,,,,
46231,2010,1,,,,,,,,,,
46232,2010,1,,,,,,,,,,
46233,2010,1,,,,,,,,,,
46234,2010,1,,,,,,,,,,
46235,2010,1,,,,,,,,,,
46236,2010,,,1,,,,,,,,
46419,2010,,1,,,,,,,,,
46420,2010,,1,,,,,,,,,
46421,2010,,1,,,,,,,,,
46423,2010,,1,,,,,,,,,
46425,2010,,1,,,,,,,,,
46427,2010,,1,,,,,,,,,
46428,2010,,,,,,,,,1,,
46429,2010,,,,1,,,,,,,
46430,2010,,1,,,,,,,,,
46431,2010,,,,1,,,,,,,
46432,2010,,1,,,,,,,,,
46433,2010,,,,,,,,,1,,
46434,2010,,1,,,,,,,,,
46435,2010,,,,,,,,,1,,
46436,2010,,1,,,,,,,,,
46437,2010,,,,,,,,,1,,
46438,2010,,1,,,,,,,,,
46439,2010,,,,,,,,,1,,
46440,2010,,,,,,,,,1,,
46441,2010,,,,,,,,,1,,
46442,2010,,,,,,,,,1,,
46443,2010,,,,,,,,,1,,
46445,2010,,,,,,,,,1,,
46446,2010,,,,1,,,,,,,
46447,2010,,,,1,,,,,,,
46448,2010,,,,1,,,,,,,
46449,2010,,,,1,,,,,,,
46450,2010,,,,1,,,,,,,
46451,2010,,,,1,,,,,,,
46452,2010,,,,1,,,,,,,
46453,2010,,,,1,,,,,,,
46454,2010,,,,,,,,,1,,
46455,2010,,,,1,,,,,,,
46456,2010,,,,,,,,,1,,
46457,2010,,,,,,,,,1,,
46567,2010,,,,,,,1,,,,
46568,2010,,,,,,,1,,,,
46569,2010,,,,,,,1,,,,
46571,2010,,,,,,,1,,,,
46572,2010,,,,,,,1,,,,
46573,2010,,,,,,,1,,,,
46574,2010,,,,,,,1,,,,
46575,2010,,,,,,,1,,,,
46576,2010,,,,,,,1,,,,
47987,2010,,,1,,,,,,,,
47988,2010,,,1,,,,,,,,
47989,2010,,,1,,,,,,,,
47990,2010,,,1,,,,,,,,
47991,2010,,,1,,,,,,,,
56570,2010,,,,,,,1,,,,
